name,ssd
601998:002936,321.1199131592749
600015:002936,321.14068510499675
601997:002948,321.1714366709551
002142:601077,321.22678278588
601939:002936,321.26438259926226
601077:601328,321.3031267273648
601166:601169,321.4863947275107
601997:601009,321.73997145711803
002936:002958,321.7566852562101
600919:603323,321.76039600723846
601997:600928,321.93013046825786
002936:601229,322.28046130860224
002807:601077,322.3807491138778
601818:600000,322.3875207320163
600000:601916,322.56414398300205
600926:601077,322.56436199601296
600919:600016,322.6652788097537
000001:601997,322.7700852517318
600919:601398,322.7755545771982
601818:601169,322.81840912624284
601860:600908,322.92437678710684
601169:601916,323.0262148431607
601860:601988,323.0884799427253
600000:601998,323.1297439760695
600000:600015,323.14354014409975
600000:601939,323.2489314752234
601997:601288,323.2491999961701
601658:601077,323.30488910915204
600919:002948,323.3371563006645
601169:601998,323.59635459422844
603323:002936,323.59964065032125
601166:601818,323.63361797960073
601169:600015,323.63854303489757
601169:601939,323.74810443332285
601166:601916,323.7808724746648
600000:002958,323.841782617135
600919:601009,323.90523455651964
600919:600928,324.0305948513688
601169:002958,324.23336707646575
601997:601577,324.2672038642945
600000:601229,324.27097556349173
601166:601998,324.36556719270516
601166:600015,324.38162101259917
601166:601939,324.46007858811396
600016:002936,324.5105102059485
002936:601398,324.5923298026987
601169:601229,324.76833139891096
601997:601838,324.81915287428166
600919:000001,324.8882626871224
600036:601997,324.9914061900898
601818:601916,325.1453316333781
601166:002958,325.14923000020093
002936:002948,325.1782525269153
002142:601997,325.3885553653026
600919:601288,325.4682968331697
601166:601229,325.4858693818502
601997:601328,325.5189076553966
600000:603323,325.60989663334067
601818:600015,325.7151085950951
601818:601998,325.7175597414939
601009:002936,325.7276856028621
600928:002936,325.8108259742433
601818:601939,325.8376004618462
601998:601916,325.91083624192385
600015:601916,325.9322631292114
601169:603323,326.0660690732961
601939:601916,326.0743612345189
601818:002958,326.3789499434349
600908:601077,326.39643519483326
600919:601577,326.4551273560539
601916:002958,326.4824507180213
600000:600016,326.49189836816817
600015:601998,326.5046962437908
601997:002807,326.58735906763076
600000:601398,326.5972097475877
601077:601988,326.5982738123839
601939:601998,326.62623142497006
601939:600015,326.6593144644966
000001:002936,326.66882196881863
601997:600926,326.74939607174076
601166:603323,326.82393242508465
601818:601229,326.86326132169
600919:601838,327.0035272155417
601169:600016,327.0085484293852
601939:002958,327.08465597126866
601169:601398,327.09278962553094
601916:601229,327.09809353121284
601998:002958,327.1218285667075
600015:002958,327.16452991832955
600919:600036,327.1759267296178
600000:002948,327.18455445197407
002936:601288,327.3364102066644
601997:601658,327.53555134142727
002142:600919,327.5565773370208
601998:601229,327.65035286321944
601169:002948,327.65784738470234
600015:601229,327.68505283460553
601166:600016,327.6890970888325
600919:601328,327.74744798189784
601009:600000,327.7598444740134
601166:601398,327.8254685852287
601939:601229,327.84180583444396
600000:600928,327.907305583376
601229:002958,328.1421403735898
601818:603323,328.1914311919845
601009:601169,328.21772137550977
601169:600928,328.2719395052248
601577:002936,328.2949542437233
601166:002948,328.40297598975553
603323:601916,328.40931940592975
000001:600000,328.7552847184091
600919:002807,328.8052213790788
601838:002936,328.814013042997
600919:600926,328.9380132803614
603323:601998,328.9606628134781
600036:002936,328.98213093341843
603323:600015,328.9918576148287
601166:601009,329.00434150420494
601818:600016,329.0855554434376
601939:603323,329.1110684417663
000001:601169,329.16594865914743
601818:601398,329.1912150065152
601166:600928,329.20474393636863
600000:601288,329.3142612578351
002142:002936,329.3541180174833
600016:601916,329.35482234019895
601916:601398,329.4227206629827
002936:601328,329.6163199405613
